Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2019","2019","tonnes","1.37","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2020","2020","tonnes","0.3","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","1998","1998","1000 US$","13","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","1999","1999","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2000","2000","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2001","2001","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2002","2002","1000 US$","15","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2003","2003","1000 US$","16","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2004","2004","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2005","2005","1000 US$","29","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2006","2006","1000 US$","0","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2007","2007","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2008","2008","1000 US$","124","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2009","2009","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2010","2010","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2011","2011","1000 US$","239","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2012","2012","1000 US$","36345","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2013","2013","1000 US$","1515","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2014","2014","1000 US$","1684","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2015","2015","1000 US$","676","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2016","2016","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2018","2018","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2019","2019","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2020","2020","1000 US$","1","A","Official figure"
